clusterhead_1,clusterhead_2,distance
16,39,323.162421
16,41,418.807558
16,44,247.227316
16,45,225.871855
16,46,226.260553
16,47,262.767204
16,49,385.304463
16,50,509.180245
16,52,401.509557
16,53,334.338107
16,54,311.964716
16,55,334.530456
16,56,313.482523
16,60,552.022622
16,61,497.655539
16,62,441.415633
16,63,408.364618
16,64,410.509276
16,67,404.517543
16,68,451.990604
16,70,589.114824
16,72,513.122410
16,73,478.062633
16,74,482.599948
16,76,474.635674
16,77,486.770054
16,81,625.132461
16,82,574.317477
16,84,525.251721
16,86,553.050642
16,87,554.516312
16,88,556.413146
16,89,618.216652
16,94,606.486303
21,22,77.055944
21,23,124.853037
21,24,206.102778
21,26,368.647400
21,27,428.313650
21,28,521.546147
21,31,103.823539
21,32,131.321080
21,33,151.164420
21,34,235.675047
21,35,316.584207
21,36,384.904528
21,37,463.033699
21,38,558.387993
21,39,626.990320
21,41,161.252706
21,44,279.638982
21,45,337.324777
21,46,402.110718
21,47,474.592715
21,49,662.613996
21,50,237.091044
21,52,274.283445
21,53,291.529397
21,54,330.063957
21,55,403.816448
21,56,472.477611
21,60,301.178137
21,61,292.023246
21,62,333.350815
21,63,348.879951
21,64,422.388122
21,67,558.721028
21,68,652.628033
21,70,376.985817
21,72,406.704181
21,73,410.157270
21,74,493.530104
21,76,584.239073
21,77,632.845043
21,81,465.424069
21,82,458.328711
21,84,526.054679
21,86,634.857135
21,87,679.187092
21,88,710.898043
21,89,793.670901
21,94,606.429458
22,23,47.799043
22,24,129.654669
22,26,291.607025
22,27,351.293150
22,28,444.613092
22,31,127.232795
22,32,100.187958
22,33,89.843152
22,34,161.516640
22,35,240.984061
22,36,308.355346
22,37,386.726744
22,38,481.548674
22,39,550.293433
22,41,175.763936
22,44,215.301112
22,45,267.858396
22,46,329.968465
22,47,401.753845
22,49,587.363900
22,50,265.151939
22,52,249.202410
22,53,244.666145
22,54,274.294670
22,55,344.887440
22,56,404.635014
22,60,323.226026
22,61,295.881285
22,62,308.315254
22,63,312.093801
22,64,374.916404
22,67,493.950568
22,68,584.116895
22,70,387.805394
22,72,386.222975
22,73,379.813978
22,74,449.825762
22,76,526.357592
22,77,570.800704
22,81,462.840252
22,82,442.996002
22,84,485.708833
22,86,582.711043
22,87,621.130258
22,88,649.052423
22,89,730.036786
22,94,568.870165
23,24,82.941651
23,26,243.841217
23,27,303.550090
23,28,396.955410
23,31,159.363780
23,32,106.887279
23,33,69.256939
23,34,117.161827
23,35,194.515613
23,36,260.941214
23,37,339.470652
23,38,433.876902
23,39,502.713831
23,41,199.291385
23,44,180.063172
23,45,226.928996
23,46,286.264208
23,47,357.244826
23,49,540.807562
23,50,291.137445
23,52,244.246884
23,53,223.632622
23,54,245.095475
23,55,311.904750
23,56,364.087457
23,60,344.464330
23,61,307.571807
23,62,301.215063
23,63,296.599810
23,64,350.299063
23,67,455.357781
23,68,542.488124
23,70,401.346863
23,72,380.321514
23,73,367.370386
23,74,426.980325
23,76,492.691542
23,77,533.917504
23,81,467.111331
23,82,439.496823
23,84,464.853218
23,86,552.852660
23,87,586.920314
23,88,612.063869
23,89,691.598180
23,94,549.215015
24,26,164.095178
24,27,223.239973
24,28,315.825864
24,31,236.857138
24,32,169.789011
24,33,114.127267
24,34,77.409945
24,35,130.008729
24,36,187.623130
24,37,266.288725
24,38,356.919086
24,39,426.377113
24,41,268.875408
24,44,160.106869
24,45,184.109633
24,46,230.316383
24,47,296.412594
24,49,469.991482
24,50,360.367180
24,52,277.472791
24,53,231.117989
24,54,233.208675
24,55,286.612309
24,56,316.265632
24,60,407.657991
24,61,360.434373
24,62,327.693998
24,63,309.022735
24,64,342.280200
24,67,411.131349
24,68,488.530380
24,70,454.145213
24,72,405.517428
24,73,381.982693
24,74,419.975228
24,76,460.330008
24,77,492.951921
24,81,505.815168
24,82,466.889955
24,84,460.837643
24,86,528.263843
24,87,551.843849
24,88,569.905721
24,89,645.066706
24,94,545.821036
26,27,59.787823
26,28,153.635250
26,31,381.469179
26,32,302.627791
26,33,246.105385
26,34,151.142657
26,35,82.450628
26,36,48.200149
26,37,111.836753
26,38,193.848352
26,39,263.535867
26,41,398.771002
