timestamp,node_id,log_text
184.975486,12,Node #12 [ 184.97549] Sent Join Reply to: 4
184.975486,12,Node #12 [ 184.97549] Sent Join Reply to: 11
184.975534,13,"Node #13 [ 184.97553] ADDRESS RENEW: [5,1] -> [8,254]"
184.975534,13,Node #13 [ 184.97553] Removing 12 from my assigned node ids.
184.975549,4,"Node #4  [ 184.97555] ADDRESS RENEW: [5,1] -> [8,254]"
184.975549,4,"Node #4  [ 184.97555] Heard Join Reply from: [8,254]"
184.975549,4,"Node #4  [ 184.97555] 4.[8,1] Sending JOIN_ACK to [8,254] through 12.[8,254] (selected by Neighbors Table)"
184.975555,5,"Node #5  [ 184.97556] ADDRESS RENEW: [5,1] -> [8,254]"
184.975567,11,"Node #11 [ 184.97557] ADDRESS RENEW: [5,1] -> [8,254]"
184.975567,11,"Node #11 [ 184.97557] Heard Join Reply from: [8,254]"
184.975567,11,"Node #11 [ 184.97557] 11.[8,2] Sending JOIN_ACK to [8,254] through 12.[8,254] (selected by Neighbors Table)"
184.975581,20,"Node #20 [ 184.97558] ADDRESS RENEW: [5,1] -> [8,254]"
184.975581,20,"Node #20 [ 184.97558] 20.[1,1] Sending NETWORK_UPDATE to [1,254] through 29.[1,254] (selected by Neighbors Table)"
192.686315,22,"Node #22 [ 192.68631] Sent Join Request to [3,254]"
192.686391,21,Node #21 [ 192.68639] Sent Join Reply to: 22
192.686467,22,"Node #22 [ 192.68647] Heard Join Reply from: [3,254]"
192.686467,22,"Node #22 [ 192.68647] 22.[3,1] Sending JOIN_ACK to [3,254] through 21.[3,254] (selected by Neighbors Table)"
193.559494,15,"Node #15 [ 193.55949] Sent Join Request to [3,1]"
193.559592,22,Node #22 [ 193.55959] Heard Join Request from 15
193.559592,22,"Node #22 [ 193.55959] 22.[3,1] Sending NETWORK_REQUEST to [1,254] through 21.[3,254] (selected by Parent)"
193.559668,21,"Node #21 [ 193.55967] 21.[3,254] Sending NETWORK_REQUEST to [1,254] through 29.[1,254] (selected by Neighbors Table)"
193.559725,29,"Node #29 [ 193.55972] Sent network reply to [3,1]"
